b=1	1.00854
b=1.025	1.00956
b=1.05	1.00969
b=1.075	1.00936
b=1.1	1.00976
b=1.125	1.00736
b=1.15	0.960944
b=1.175	0.743325
b=1.2	0.61487
b=1.225	0.535898
b=1.25	0.477438
b=1.275	0.429536
b=1.3	0.391653
b=1.325	0.361407
b=1.35	0.337896
b=1.375	0.308622
b=1.4	0.289086
b=1.425	0.272204
b=1.45	0.25299
b=1.475	0.239131
b=1.5	0.228379
b=1.525	0.21056
b=1.55	0.193771
b=1.575	0.182953
b=1.6	0.169974
b=1.625	0.158486
b=1.65	0.145859
b=1.675	0.121612
b=1.7	0.0966338
b=1.725	0.0741499
b=1.75	0.0575107
b=1.775	0.0454141
b=1.8	0.0340224
b=1.825	0.0275249
b=1.85	0.0197816
b=1.875	0.0144664
b=1.9	0.010014
b=1.925	0.0100586
b=1.95	0.00535927
b=1.975	0.00215834
b=2	0.00113811
b=2.025	0.00130428
b=2.05	0.000121884
b=2.075	0.000192203
b=2.1	1.92222e-008
b=2.125	1.92222e-028
b=2.15	7.78787e-005
b=2.175	6.40405e-005
b=2.2	8.23e-005
b=2.225	8.31313e-007
b=2.25	8.31313e-027
b=2.275	8.31313e-047
b=2.3	8.31313e-067
b=2.325	8.31313e-087
b=2.35	8.31313e-107
b=2.375	8.31313e-127
b=2.4	8.31313e-147
b=2.425	8.31313e-167
b=2.45	8.31313e-187
b=2.475	8.31313e-207
b=2.5	8.31313e-227
b=2.525	8.31313e-247
