b=1	0.685951
b=1.025	0.610302
b=1.05	0.549479
b=1.075	0.49255
b=1.1	0.434229
b=1.125	0.372788
b=1.15	0.319236
b=1.175	0.260534
b=1.2	0.20304
b=1.225	0.148997
b=1.25	0.101087
b=1.275	0.0514294
b=1.3	0.0124751
b=1.325	0.000330814
b=1.35	6.56719e-007
b=1.375	6.56719e-027
b=1.4	6.56719e-047
b=1.425	6.56719e-067
b=1.45	6.56719e-087
b=1.475	6.56719e-107
b=1.5	6.56719e-127
b=1.525	6.56719e-147
b=1.55	6.56719e-167
b=1.575	6.56719e-187
b=1.6	2.0505e-005
b=1.625	8.86869e-005
b=1.65	0.00032424
b=1.675	2.04061e-007
b=1.7	2.04061e-027
b=1.725	2.04061e-047
b=1.75	2.04061e-067
b=1.775	2.04061e-087
b=1.8	2.04061e-107
b=1.825	2.04061e-127
b=1.85	2.04061e-147
b=1.875	2.04061e-167
b=1.9	2.04061e-187
b=1.925	2.04061e-207
b=1.95	2.04061e-227
b=1.975	2.04061e-247
b=2	2.04061e-267
b=2.025	2.04061e-287
b=2.05	2.04061e-307
b=2.075	0
